Which of these areas of solar physics do you work in? Check all that apply.,How would you describe the stage of your career?,What country is your institution in?,Do you self-identify as one or more underrepresented minorities in solar physics? This question is optional.,Do you self-identify as a unrepresented gender identity in Solar Physics? This question is optional.,Do you use software in your research?,Have you had formal training in programming?,Which of the following statements is most applicable to you?,Which of the following have you personally utilized in your work within the last year?,Have you cited software papers in your published research?,Why haven’t you cited software in your research?,On which of these have you run software for solar-physics research?
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting, Fortran, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, C++, Fortran, Perl",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation"
"Numerical Simulations, Theory",Graduate student,Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python, Fortran, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Fortran, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Instrumentation",Graduate student,Germany,No,Yes,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Shell scripting, Github (or similar)",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
Numerical Simulations,Postdoc,Germany,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Shell scripting, C++, MATLAB",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Instrument developer,Germany,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, Spreadsheets (e.g. Excel), Mathematica, Github (or similar), ZEMAX, FreeCAD",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
Observational (Space-Based),Graduate student,Germany,No,No,Yes,No,I write mostly my own software.,"Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Mathematica",No,I am not sure how to appropriately cite software,Local Cluster
Theory,"Faculty, Staff Scientist, Researcher",Germany,No,Yes,Yes,No,Somewhere in between.,"IDL, SolarSoft",No,I am not sure how to appropriately cite software,"Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",unemployed,Germany,,,Yes,No,I write mostly my own software.,"IDL, Python, C, Fortran, MATLAB, Mathematica",No,I do not think software belongs in citations,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Graduate student,Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, Spreadsheets (e.g. Excel), MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Postdoc,Spain,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Graduate student,Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Spreadsheets (e.g. Excel), Mathematica",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
Numerical Simulations,Graduate student,Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, MATLAB",No,I do not think it is necessary,Local Cluster
"Observational (Space-Based), Numerical Simulations, Theory",Postdoc,Germany,No,No,Yes,No,I write mostly my own software.,"IDL, Python, C++, Mathematica",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Indonesia,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Fortran, Spreadsheets (e.g. Excel)",Sometimes,,Laptop / Desktop computer
"Numerical Simulations, Theory",Undergraduate student,Germany,,,Yes,No,Somewhere in between.,R,Yes,,"Shared workstation, Local Cluster"
Instrumentation,Instrument developer,Germany,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, Spreadsheets (e.g. Excel)",No,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation",Graduate student,Germany,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, C++, Fortran",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, C++, Fortran, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Regional or National Cluster"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Python, Fortran, MATLAB, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster"
"Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Fortran",Sometimes,,Regional or National Cluster
Theory,Postdoc,United States,,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I mostly use software written by others.,"Python, C, Fortran, MATLAB, Spreadsheets (e.g. Excel), Mathematica",No,I do not think it is necessary,Laptop / Desktop computer
"Numerical Simulations, Theory",Graduate student,United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, C, Fortran, MATLAB, Mathematica",No,I do not think it is necessary,"Laptop / Desktop computer, Regional or National Cluster"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Spreadsheets (e.g. Excel)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, C++, MATLAB, MPI, LuaJIT",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation",Postdoc,United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, MATLAB, Spreadsheets (e.g. Excel), Mathematica",No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Mathematica, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,No,Somewhere in between.,"IDL, Python, Shell scripting, MPI",Yes,,"Laptop / Desktop computer, Local Cluster"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Perl, MPI, Github (or similar)",No,I do not think it is necessary,"Laptop / Desktop computer, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, Fortran, Perl, MATLAB, SQL, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar), OpenMP",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Shell scripting, Javascript, SQL, Spreadsheets (e.g. Excel), Github (or similar)",No,,"Laptop / Desktop computer, Local Cluster"
"Numerical Simulations, Theory",Postdoc,Germany,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, Shell scripting, Fortran, MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
Theory,Undergraduate student,Germany,No,No,Yes,No,Somewhere in between.,"IDL, Python, Shell scripting",No,,"Laptop / Desktop computer, Shared workstation"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,"IDL, Shell scripting, Fortran, Mathematica, MPI, Github (or similar)",No,I do not think it is necessary,"Laptop / Desktop computer, Regional or National Cluster"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,Python,Yes,,"Laptop / Desktop computer, Shared workstation"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Instrumentation,Instrument developer,Switzerland,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, Shell scripting, C, Java",No,I do not think software belongs in citations,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Javascript, HTML/CSS, Github (or similar), PhP",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),Graduate student,Austria,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, MPI",Sometimes,,"Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",France,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, SQL, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,No,I mostly use software written by others.,"Javascript, Spreadsheets (e.g. Excel)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)",Software developer,Belgium,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Javascript, SQL, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, C++, R",Sometimes,,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"C, Perl, SQL, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, Javascript, MATLAB, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, SunPy, C, Fortran, Perl, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"SolarSoft, Python, SunPy, Shell scripting, C, Perl, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, HTML/CSS",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Shell scripting",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),Graduate student,United States,,,Yes,No,I write mostly my own software.,"IDL, Python, Fortran, Spreadsheets (e.g. Excel), Github (or similar)",No,I do not think software belongs in citations,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Fortran, Spreadsheets (e.g. Excel), Github (or similar)",No,I do not think software belongs in citations,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python, SunPy, Shell scripting, C, C++, Fortran, Perl, Javascript, Java, SQL, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,MATLAB,No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation",Software developer,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I mostly use software written by others.,"IDL, SolarSoft, Spreadsheets (e.g. Excel)",No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Spreadsheets (e.g. Excel)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,"IDL, Shell scripting, Fortran, Mathematica, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Fortran, Spreadsheets (e.g. Excel)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, HTML/CSS, Spreadsheets (e.g. Excel)",Yes,,Laptop / Desktop computer
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,C,No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation",Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, Shell scripting, C, C++, Fortran, MATLAB, Spreadsheets (e.g. Excel), MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,No,Somewhere in between.,"IDL, SolarSoft, MATLAB",Sometimes,,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, Shell scripting, C, C++, Fortran, Perl, Julia, MATLAB, R, SQL, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",1 year PhD student,Belgium,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Instrumentation",Software developer,United States,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Python, Shell scripting, Javascript, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, MATLAB, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, GPU"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,IDL,No,I do not think it is necessary,Laptop / Desktop computer
Instrumentation,"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, C, C++, Julia, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,,Yes,No,Somewhere in between.,"IDL, SolarSoft, C, Fortran, MATLAB",Sometimes,,Laptop / Desktop computer
"Observational (Ground-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, Python, SunPy, MATLAB, Spreadsheets (e.g. Excel), Mathematica, Zemax, Autodesk Inventor / Solidworks, TFCalc",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Ground-Based), Theory","Faculty, Staff Scientist, Researcher",United States,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Fortran, IRAF",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,"IDL, Fortran, HTML/CSS, Mathematica",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,I write mostly my own software.,IDL,Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Fortran, IRAF, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation"
Instrumentation,"Faculty, Staff Scientist, Researcher",United States,,,Yes,No,I write mostly my own software.,"C++, MATLAB, Octave",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Regional or National Cluster, Commercial cloud"
"Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Javascript, Spreadsheets (e.g. Excel)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
Observational (Ground-Based),"Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,No,I write mostly my own software.,"IDL, Shell scripting, HTML/CSS",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, C++, Fortran, IRAF",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,,,Yes,No,I write mostly my own software.,"IDL, Python",Yes,,Shared workstation
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, Shell scripting, HTML/CSS, Spreadsheets (e.g. Excel), Mathematica, MPI",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Regional or National Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Belgium,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,"Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Undergraduate student,Argentina,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Postdoc,Argentina,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, C, C++, Spreadsheets (e.g. Excel), Mathematica, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Graduate student,India,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, C, C++",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Austria,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations",Postdoc,France,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, MATLAB",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Theory","Faculty, Staff Scientist, Researcher",India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, Spreadsheets (e.g. Excel), origin",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),Graduate student,Ethiopia,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,MATLAB,Yes,,Laptop / Desktop computer
Numerical Simulations,Software developer,Russia,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Fortran",Yes,,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, Perl, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
Observational (Space-Based),Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation",Software developer,United States,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Javascript, Java, SQL, HTML/CSS",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),"SolarSoft, part time retiree.",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Javascript, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Commercial cloud"
Observational (Space-Based),Postdoc,United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Github (or similar)",Yes,,Laptop / Desktop computer
